vibration_sample,sound_sample,label,severity
"[1.0043674073173023, 1.0535884354131388, 1.026988505860121, 0.9696489669806792, 1.0317478886472868, 0.9327504053852965, 1.0784432581562422, 1.0407541497937602, 0.9274354655741197, 1.0098111952905244, 1.016069146734854, 1.0292405773492417, 0.9931320631532196, 0.9746578446224018, 0.9656694866909938, 0.99671703520162, 1.0125838014489514, 0.9975124470580274, 0.9475480192218941, 0.9725081449823355, 0.9627457945353867, 1.0921628474243241, 0.9632030047289538, 1.0654851364918003, 0.9612608571741253, 1.0320052256604841, 0.9676059164800606, 1.0026339422736166, 0.9550579422796888, 0.98359122037111, 1.0276083313871816, 0.9858612452318046, 1.055168763999065, 0.9703562851791775, 1.0687557298680705, 1.0292704518113371, 0.9455729418618357, 1.0752541199879422, 0.984032624307652, 1.003880774862323, 1.0079807307071664, 1.0068419770548702, 0.9603047617705688, 0.9746288692478996, 1.011947462007333, 1.0298731998540982, 0.9529829607680097, 1.0718120369509438, 0.9979144149852913, 0.9581112821844091]","[0.18237512525950356, -0.33355707562942843, -0.29543562282140723, 0.04187176949192667, -0.10546456067020837, -0.23777933341932972, -0.15852463391640076, 0.10890012926251931, 0.36188977515526805, -0.40883618256749854, -0.1999044743671496, 0.22401765767952855, -0.5000609463423973, -0.06755080038767852, 0.46897323330590207, 1.0347526382078007, 0.2919826600284105, -0.7796912199031312, 0.11084965197540983, -0.62786316805817]",Normal,Green
"[1.016728882056241, 0.9745201246342289, 0.9582991637797924, 1.060071612093466, 1.0532061438371823, 1.1402409576085109, 0.9908470838666275, 0.9677799975410383, 0.9587697459783303, 1.0408581297415165, 1.1112067725384769, 0.9569059656774527, 1.023256247552433, 1.0459442163618016, 0.8649984269639083, 0.9339753288736242, 1.1057981725659765, 1.0302588309151646, 0.9984746373880742, 1.063993257676506, 1.0786421420791807, 0.8630712153326283, 0.9991174020761988, 1.0840106206501963, 1.0249492308581807, 0.9662978178602479, 0.9300169958770843, 1.0389035501084423, 0.9340868289746769, 1.0212348259577888, 1.0509342651458176, 0.9268271532647825, 1.0512357708762938, 1.0030089391285721, 0.8891722518713587, 0.9121821458097968, 1.0517257037134082, 1.0377304085667285, 1.1007813425911492, 0.9727465187684694, 1.0621697100771066, 1.0693352462219372, 0.967144327408676, 0.9824543396783716, 1.0245724055196561, 0.9992716338347226, 1.0180679911357609, 1.0211871883551482, 1.0348381712436416, 1.010544834621731]","[0.3995345791746921, 0.606974332927778, -0.03387516324916525, -0.8219365755210677, -0.29739004147370224, -0.7936818382967933, 0.08786329281457932, -0.29835019012465824, -0.04437731810877866, -0.3660227354789193, 0.20059956125253287, 0.5202556452931537, 0.18602567755342528, -0.2768902793458221, 0.46564398844177424, -0.06872766096066368, -0.2312812528992476, 0.22345363142823954, -0.5390317436974712, 0.09732596659425227]",Normal,Green
"[0.9939926955429169, 1.0429602781111398, 1.0444838874391809, 0.9548116059994709, 0.9506038486795733, 0.9442759374444986, 1.0749553231749738, 1.026527440170704, 0.9937452381333532, 1.005813590093541, 1.0260148524567148, 0.9877950659015274, 0.953253416925571, 1.026473989674105, 0.9933763855460167, 0.999607618080738, 0.962956559494284, 1.0246530034265193, 0.9976565857403076, 0.9704741645554813, 1.046435953251007, 0.9366037908625591, 0.9532006633947483, 1.004449892561523, 1.01738159696989, 0.9600826438009707, 1.026588300382646, 1.064230905971865, 0.9800046300701785, 0.949702660030778, 1.0833304692180472, 0.9441514676344004, 0.9083460187029418, 1.0012458974723584, 1.0416760849865696, 1.061476819887112, 1.0478304300072079, 0.9320672429696626, 1.0318161485683377, 0.9886523888164226, 0.8890180485961313, 0.9835958273062341, 0.9085545863108943, 0.9519823633385709, 0.9955351369026332, 0.9380511560986191, 0.9979879710801991, 0.9749057251520572, 0.9880983057752407, 0.968962150829778]","[0.10323201285331367, 0.23292497321719566, 0.8481943057456938, 0.04889907442617459, 0.3454688629936916, -0.4997378975765851, 0.062327257131698635, -0.5422137706260672, 1.0351678504125559, -0.5365233438598237, 1.1214242919781479, 0.05780154597530099, 0.7105803862092688, -0.29837906935844855, 0.37696068282674194, -0.6063597957663363, 0.16011446928235787, -0.3210766061399745, -0.3587984635058607, -0.10417181194985496]",Normal,Green
"[0.9514986652422034, 0.9831145733097879, 1.0496574666875607, 1.055244166724946, 0.9909787042542921, 1.0297844799557812, 1.0428433681410687, 0.8837952341483841, 1.009916222942604, 0.9854931779203718, 1.0555958472816778, 1.0095484998073632, 0.9342618660339665, 0.9561948937459517, 0.9324280258731834, 1.0088602252192052, 1.0607151958435659, 1.0506851111119413, 1.0146352225351116, 1.021088333229628, 0.9565432595422364, 0.9221976709815121, 0.9847387296905037, 1.01067159646349, 0.9977104757532831, 0.9545764815025091, 0.9788309308144841, 1.118092172530369, 1.0386409203264084, 0.9763018544637476, 1.085652832515627, 0.990776185657178, 1.017921801378675, 0.9683509239728169, 1.0047363115792274, 0.942946305110319, 0.9082050286793621, 0.9761367332103233, 1.0278113782954008, 1.0580654508481315, 0.9559902348674003, 0.937989019831553, 0.9707828321160971, 0.9609473902080691, 1.0515218980109464, 1.0422960030870132, 1.0187523161695486, 0.9806719116829798, 1.0333425134920786, 1.064418259905983]","[0.246211125268749, -0.03967707107714391, -0.3806626047182753, 0.5565383069021682, -0.5720812659961702, 0.39525760914465485, 0.0452698745614395, -0.49517669770025075, -1.0320042472535096, 0.19283640003728533, 0.5878012603733851, 0.015797177853506202, 0.09835642927470617, -0.8151665146014939, -0.5288499133195276, -0.18368453024486214, -0.8792325333720639, -0.12799396891531944, -0.10125718628334875, 0.30683627274403125]",Normal,Green
"[0.9781036218196758, 0.9189172752415721, 1.0589740113287796, 1.0042223738774234, 0.9527327111915977, 1.0193796877229957, 1.02135880495442, 0.9973736286667374, 0.9869666479519881, 0.9018054148373968, 0.9887055962196205, 0.9718501297937179, 0.9927044604570303, 1.040678239643886, 0.9876589397755984, 1.0152773714159395, 0.8851873088978499, 0.8940180008961757, 1.0084686154773146, 1.0653283491549999, 1.0175345303049976, 0.9837662447042089, 0.9552367115675776, 0.9738063225848712, 1.0160356746401042, 1.049546184981048, 0.9194584769913028, 0.9888107941204904, 1.0543700841885868, 1.0511276948972483, 0.9445314002470349, 1.0192885313493356, 0.985282623596106, 1.0657079755649081, 0.9147670902821682, 0.9692886308578494, 1.057172632388369, 1.0356716639360122, 1.0543775364361652, 1.0983736608995605, 0.9995172698560463, 1.1467137347990204, 1.09336093726403, 1.058611286303739, 1.0844148758269958, 1.0511638066814832, 0.9873119112391496, 1.043381353071404, 1.0102115648278933, 0.9933125923294609]","[-0.4824365990973685, -0.17466846554468013, -0.20945755662248525, -0.2748457744704672, -0.05686057733693101, 0.578229665809189, -0.12911466093206672, -0.03279128600559707, -0.1705061234265593, -0.056517300195516304, -0.12007102896041805, -0.17184211420921433, 0.6591988581207119, 0.2978703646771317, 0.22964637307128236, 0.7326529644516876, 0.4205690863419967, -0.2538075119781766, -0.19583341224801398, -0.1823326499368441]",Normal,Green
"[0.9738785535387726, 0.9826928033726555, 0.9626910309741266, 1.0340841562140421, 0.9137461561777609, 1.0082327676689533, 0.9892411951805467, 0.9702714781743507, 1.0376675394346675, 1.043583452040616, 1.0102340729582568, 0.9915024446041136, 1.0736534449119832, 0.9737016985332885, 0.967845140288612, 1.0729199251997399, 1.023110183593485, 0.9320913331413115, 0.9440219771804866, 0.9976736926806338, 0.9811699770114509, 1.0228794495957885, 0.9927195062499936, 1.0059468372584583, 1.0205522384779295, 1.0024312769950223, 0.9635383117932217, 1.0429298803006326, 1.0205565129949679, 1.0146790051253474, 1.020376919663235, 1.0175100250149707, 0.9509131875645734, 1.016722316093328, 0.995476472020244, 1.0483045191979687, 0.9771302151240672, 0.991041340239718, 0.9894771393354406, 0.9682353075894524, 1.021043407610318, 1.0316135203465222, 1.0351467247046602, 1.0511701241885067, 1.0527017744568523, 1.1163463773771747, 0.9138123738104413, 1.0752267427633206, 1.0201541121161957, 0.9714443785830974]","[0.26280963281986874, 0.08108341345804594, -0.4631377012813761, -0.8483967788588643, -0.8559742238955119, 0.016302619442927168, 0.13834621236718345, 0.5388559770587934, -0.5745235431410163, 1.4782835546824222, 0.0058979457556518605, -0.1818391595503959, -0.517918231518142, -0.5987866003213214, 0.516569660164753, -0.4703717389420825, 0.5032774129825106, -0.3441438150047096, -0.3440379704151183, 0.16923631374648904]",Normal,Green
"[0.9672992055001384, 1.0822772985633675, 0.9795709635848721, 0.9388512033166748, 1.0556983008392007, 0.9715166432109803, 0.9503313286983429, 0.9458457350692131, 1.0025668345875731, 1.0376367162157547, 0.9913833090548374, 1.0622618012421614, 0.9687405338659136, 1.001835301887736, 0.9791440978332502, 0.9070047578628284, 0.9563554522782605, 0.9697417812454133, 1.0324944601045196, 1.0525742925206494, 0.9154128757422751, 0.9890709066992641, 0.9769316429370194, 1.068876702776124, 0.9928988350784541, 0.9615432548941232, 1.036861563955636, 1.0496523065417898, 0.9732908485054589, 1.0074337891840357, 1.0237549799257133, 0.9816301786883951, 0.924459121454774, 1.0351267797738213, 0.9922063041794872, 0.9243545904465623, 1.0296951937194174, 0.9929284931218376, 0.9665044606522418, 0.9974229359595522, 1.0182376562916957, 0.9802660155651997, 1.0690611438748485, 1.0739633001657265, 0.9887365944144486, 1.0903165818472822, 0.9946222581399558, 0.9344763438654703, 1.0851965655299387, 1.0278580999310252]","[-0.18088744428247455, -0.7339987920662124, -0.15449792721020966, 0.20647575359194323, 0.5912265369362565, 0.08349934373758554, -0.6657805033628729, -0.5329160337915014, -0.0020620576650934373, -0.11480929677028766, -0.2196729637939895, 0.3169424832900354, 0.34896073817580703, 0.49878387413940944, 1.0727320706696195, -0.2834374755858582, 0.0006093071347162575, 0.20656253863749832, 0.12832087829201314, 0.7516163168458514]",Normal,Green
"[0.9809514729789879, 1.1008630530986656, 0.9841199798918698, 0.9917148761912741, 1.0154046172466806, 0.9703307729657471, 1.0053970957214238, 1.009167044039215, 1.0180377896809498, 0.9427889410472436, 0.9514341039451798, 0.9322794257140947, 0.917747763198297, 0.9121748907925769, 1.0868798960766712, 0.9505931950745912, 0.9870672823257712, 0.9584265177515771, 0.9872322026622982, 0.9622038141641536, 0.990589715670132, 0.9826763031348174, 0.9876196942481957, 1.0802503245591246, 0.9888167100898745, 1.0310226326901273, 0.9633535088403498, 1.0572404494551537, 1.0146308786160547, 0.9830289476480595, 1.0673188447800985, 0.9899326870432689, 0.9753665417745316, 1.0529618922652926, 1.1127622809294604, 1.0079994466963074, 1.0587841281279333, 0.9966679670311801, 1.0862557804353956, 1.00769881763049, 1.0500408309786615, 0.9637424591116045, 1.0402963606453128, 0.9496708769375064, 1.0179468638328693, 0.9932850215502963, 1.028601295646654, 1.0115205373601153, 1.0270393062112055, 1.0068076405289086]","[0.5191011568391657, 0.2512194548611631, -0.01555356245136467, 0.6587732587998956, 0.25065918000081533, 0.501438583598022, 0.1039568907320308, -0.9849458129788692, 0.12939233690864177, -0.36020016299051266, 0.5335732910870469, -0.5349639815798972, 1.5991233633415807, -0.5367944571770541, 0.6147658932087567, -0.06335618373441008, 0.2603901215801817, 0.745424425313006, -0.34503444695926716, 0.5629199747812392]",Normal,Green
"[1.0083545530114153, 0.9900860239766462, 0.9943236258810617, 0.966201997968501, 0.9270457005363845, 1.0405691772880816, 0.9569183791748512, 1.0121055511710297, 1.0095837585424001, 1.0620347837648418, 0.96309503031072, 0.9164863553749311, 1.0479361968612566, 1.0193098930025735, 0.9376967986104146, 1.0057529563537027, 0.9487723662490992, 1.079517402049865, 0.9318661473125085, 1.0114766709571812, 0.8521450246324023, 0.9623384380106741, 1.0109459859363252, 0.9886461648724262, 1.0009961856317373, 0.9730556206331933, 1.0670592239251426, 1.0883987390671868, 1.0457546241958096, 0.9142383730630035, 1.0525675850618177, 0.9588916851923611, 1.010066002063259, 1.0314566061081456, 0.9025513687810743, 1.046774557948031, 0.9933400114316882, 0.9380480373069677, 1.0140735929238076, 1.0130115290560102, 0.9711186734776941, 0.8813686087512441, 0.9777327423314731, 0.9595891479524693, 0.9915498858008278, 0.9934284612968355, 0.9732917136639573, 1.0375420504906794, 0.9521214999580548, 1.0218589505888243]","[0.24158930844985402, -1.0372505978166435, 0.49347586452428555, 0.04860897925956424, -0.2434394223782918, 0.8392441242399817, 0.5858186313323568, -0.09603802809083185, -0.21452712661639267, 0.5833393792686306, 0.7958123877365305, -0.38614350776768736, -0.4995685915511076, 0.0866478866224987, -0.6867589272625465, 0.33676546638024707, -0.8546058157149913, 0.5311764455949682, 1.0585732620082868, 0.2312489029676289]",Normal,Green
"[0.9368537067512973, 0.9172054618026146, 0.9745661397285682, 0.9982127441836679, 1.0310887883502806, 0.989420168862652, 1.0085174244421768, 0.9928563902004699, 1.0048650705172313, 0.9854964281147368, 1.0227481279805113, 0.8777910591336473, 1.0055244618077426, 0.878396008320116, 1.0266533795789552, 0.9605538801616118, 1.0460158602648424, 1.0845325322068504, 1.1361661009065047, 0.8993283596549302, 0.9529240854581018, 1.0329936572096508, 1.0274720469533494, 0.9482369445960066, 1.0291754658535202, 0.9668760242172221, 1.0259292955558268, 1.0067113621951336, 0.9465259097145247, 0.9994925736009792, 1.0514157005871838, 1.0523067787398646, 1.005061084619333, 1.0329469321596823, 1.006577484187602, 1.0342286680323567, 1.067861645966509, 1.018608418057733, 1.0164949203589693, 1.0487773436543555, 1.090021854033445, 0.9754333126354992, 0.9861629691962916, 1.054583748304826, 0.9505979827483821, 0.9136064353682634, 1.0205380369697261, 1.0280961863645333, 1.0058133502885718, 0.8520898885888818]","[0.802847603368971, -0.529300083093182, -1.2718065418871518, 0.5122352081682092, 0.49499447459196483, 0.47397149678324846, 0.09718340706623148, 0.32905715805740937, -0.19612998959687802, 0.7360390162556404, -0.1275850365989566, 0.8817314964750267, -0.08147776036034557, 1.2341277540141742, 1.0847910070891182, 0.7395882489881113, -0.20292402499905401, 0.5628876025218724, 0.16074642291707372, 0.0955200317989748]",Normal,Green
